Date,In-game Date,Activity,Season,Weather,Luck,Time Spent (in minutes),Gold on Hand,Primary Activity Gold,Non-Activity Gold,Expenses,Net Activity Income,Pickaxe,Axe,Sword,Hoe,Scythe,Pan,Rod,Tackle,Farming Lvl.,Fishing Lvl.,Mining Lvl.,Foraging Lvl.,Fighting Lvl.
12/30/25,"Day 11, Year 1",Farming,Summer,Sunny,Neutral,3:20:00,"5,514.00",187,0,0,187,Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 12, Year 1",Farming,Summer,Sunny,Very Happy,3:20:00,"5,701.00","2,421.00",0,0,"2,421.00",Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 13, Year 1",Farming,Summer,Thunderstorm,Good Humor,0:40:00,"8,122.00","1,161.00",0,0,"1,161.00",Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 14, Year 1",Farming,Summer,Green Rain,Unknown,0:00:00,"9,283.00",0,0,0,0,Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 15, Year 1",Farming,Summer,Thunderstorm,Good Humor,0:30:00,"9,283.00","3,860.00",0,0,"3,860.00",Copper,Base,Rusty,Base,Base,None,Training,None,6,2,3,3,1
12/30/25,"Day 16, Year 1",Farming,Summer,Thunderstorm,Very Happy,0:20:00,"13,143.00","1,247.00",0,"4,000.00","-2,753.00",Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 17, Year 1",Farming,Summer,Sunny,Very Happy,1:20:00,"10,390.00",0,0,0,0,Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 18, Year 1",Farming,Summer,Sunny,Annoyed/Mildly Perturbed,2:40:00,"10,390.00","4,931.00",0,0,"4,931.00",Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 19, Year 1",Farming,Summer,Sunny,Good Humor,4:20:00,"15,321.00","3,712.00",100,"3,100.00",612,Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 20, Year 1",Farming,Summer,Thunderstorm,Neutral,2:10:00,"16,033.00","1,377.00",240,"5,650.00","-4,273.00",Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 21, Year 1",Farming,Summer,Sunny,Neutral,2:50:00,"12,000.00","4,059.00",550,0,"4,059.00",Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 22, Year 1",Farming,Summer,Sunny,Very Displeased,3:50:00,"16,609.00","1,007.00",0,0,"1,007.00",Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 23, Year 1",Farming,Summer,Sunny,Good Humor,2:30:00,"17,616.00","2,143.00",0,0,"2,143.00",Copper,Base,Rusty,Base,Base,None,Training,None,7,2,3,3,1
12/30/25,"Day 24, Year 1",Farming,Summer,Thunderstorm,Very Happy,2:00:00,"19,759.00","3,025.00",0,"2,000.00","1,025.00",Copper,Base,Rusty,Base,Base,None,Training,None,8,2,3,3,1
12/30/25,"Day 25, Year 1",Farming,Summer,Sunny,Good Humor,1:40:00,"20,784.00",539,200,0,539,Copper,Base,Rusty,Base,Base,None,Training,None,8,2,3,3,1
12/30/25,"Day 26, Year 1",Farming,Summer,Thunderstorm,Very Displeased,1:10:00,"21,523.00","1,885.00",0,0,"1,885.00",Copper,Copper,Rusty,Base,Base,None,Training,None,8,2,3,3,1
12/30/25,"Day 27, Year 1",Farming,Summer,Sunny,Good Humor,3:00:00,"23,408.00","3,570.00",0,"4,600.00","-1,030.00",Copper,Copper,Rusty,Base,Base,None,Training,None,8,2,3,3,1
12/30/25,"Day 28, Year 1",Farming,Summer,Sunny,Good Humor,2:20:00,"22,378.00","1,531.00",0,0,"1,531.00",Copper,Copper,Rusty,Base,Base,None,Training,None,8,2,3,3,1
